timestamp,sample_num,lc1,lc2,lc3,lc4
1757512322.457088,1488,4731648,-1,-4500353,4622335
1757512322.458036,1489,4776448,-1,-4296065,4808703
1757512322.458974,1490,4760064,-1,-4542593,4709375
1757512322.459741,1491,4879616,-1,-4192641,4806655
1757512322.460780,1492,4696064,-1,-4585601,4660991
1757512322.461909,1493,4871936,-1,-4364929,4709119
1757512322.462767,1494,4734464,-1,-4475777,4608255
1757512322.463833,1495,4749568,-1,-4654209,4660735
1757512322.464461,1496,4745728,-1,-5807745,4852735
1757512322.465492,1497,4723200,-1,-4207745,4838655
1757512322.466531,1498,4789760,-1,-4999041,4727039
1757512322.467271,1499,4634368,-1,-4401025,4777215
1757512322.468211,1500,4687104,-1,-4585345,4842239
1757512322.468976,1501,4770304,-1,-4184961,4838655
1757512322.470065,1502,4672512,-1,-5028481,4881151
1757512322.471036,1503,4835584,-1,-4343169,4827391
1757512322.471953,1504,4814848,-1,-4888705,4849407
1757512322.472784,1505,4665344,-1,-4366465,4893695
1757512322.473609,1506,4697344,-1,-4918401,4860671
1757512322.474553,1507,4691200,-1,-4067969,5031935
1757512322.475610,1508,4798464,-1,-4452481,4691711
1757512322.476244,1509,4605952,-1,-4284801,4783103
1757512322.477281,1510,4664064,-1,-4576897,4714751
1757512322.478198,1511,4758016,-1,-4311169,4708863
1757512322.479255,1512,4799232,-1,-4345473,4750335
1757512322.480096,1513,4706048,-1,-4473473,4710399
1757512322.480953,1514,4799488,-1,-4594817,4747007
1757512322.481888,1515,4649984,-1,-4557185,4690943
1757512322.482876,1516,4762112,-1,-4362625,4771583
1757512322.483801,1517,4769280,-1,-4443009,4644095
1757512322.484723,1518,4806144,-1,-4313729,4705023
1757512322.485630,1519,4825344,-1,-4416641,4786687
1757512322.486717,1520,4782848,-1,-4464769,4745983
1757512322.487612,1521,4789760,-1,-4147585,5099263
1757512322.488467,1522,5097472,-1,-4558209,4621311
1757512322.489237,1523,4806656,-1,-4335745,4703743
1757512322.490202,1524,4787712,-1,-4451713,4593663
1757512322.491259,1525,4897024,-1,-4389761,4573951
1757512322.492034,1526,4785664,-1,-4360833,4560895
1757512322.492952,1527,4721152,-1,-4508033,4725759
1757512322.493853,1528,4786944,-1,-4586113,4608511
1757512322.495016,1529,4589824,-1,-4688513,4680447
1757512322.495740,1530,4820480,-1,-4454017,4530431
1757512322.496868,1531,4834304,-1,-4635521,4647679
1757512322.497539,1532,4737280,-1,-4374657,4779007
1757512322.498477,1533,4754432,-1,-4262273,4666367
1757512322.499508,1534,4651264,-1,-4455041,4100863
1757512322.500358,1535,4024576,-1,-4381569,4957183
1757512322.501358,1536,4745728,-1,-4347009,4724479
1757512322.502085,1537,4635392,-1,-4297857,4875007
1757512322.503109,1538,4765952,-1,-4277377,4732671
1757512322.504086,1539,4612096,-1,-4224641,4845823
1757512322.504989,1540,4800512,-1,-4407937,4689919
1757512322.505933,1541,4737024,-1,-4025217,4890111
1757512322.506690,1542,4721408,-1,-4323201,4744703
1757512322.507956,1543,4607232,-1,-3927681,4958719
1757512322.508714,1544,4781056,-1,-4471425,4787967
1757512322.509549,1545,4769280,-1,-4145281,4913919
1757512322.510277,1546,4969984,-1,-4337025,4842239
1757512322.511374,1547,4761600,-1,-4454529,4946687
1757512322.512303,1548,4826880,-1,-4510337,4752895
1757512322.513229,1549,4748288,-1,-4355713,5021951
1757512322.513951,1550,4749312,-1,-4383361,4827647
1757512322.514890,1551,4846592,-1,-4474753,4839935
1757512322.515749,1552,4687872,-1,-4288129,4603391
1757512322.516804,1553,4731392,-1,-4347777,4933631
1757512322.517814,1554,4700928,-1,-4464769,4800255
1757512322.518715,1555,4760832,-1,-4425857,5026047
1757512322.519572,1556,4727552,-1,-4429185,4594943
1757512322.520629,1557,4791296,-1,-4264577,4924159
1757512322.521574,1558,4674048,-1,-4587905,4407039
1757512322.522482,1559,4619264,-1,-4551809,4638207
1757512322.523309,1560,4913920,-1,-4344449,4692991
1757512322.524220,1561,4816128,-1,-4366209,4632063
1757512322.525166,1562,4864256,-1,-4479105,4638719
1757512322.525999,1563,4670976,-1,-4525953,4808703
1757512322.526888,1564,4637696,-1,-4373889,4819455
1757512322.527929,1565,4710144,-1,-4431489,4909055
1757512322.528841,1566,4798464,-1,-4385665,4802047
1757512322.529743,1567,4687616,-1,-4419713,4761599
1757512322.530653,1568,4631552,-1,-4436865,4860415
1757512322.531441,1569,4733440,-1,-4438913,4616191
1757512322.532473,1570,4805888,-1,-4329345,4635903
1757512322.533570,1571,4767488,-1,-4524929,4598015
1757512322.534367,1572,4742912,-1,-4649345,4668159
1757512322.535216,1573,4455680,-1,-5041537,4692223
1757512322.536260,1574,4831232,-1,-4484481,4615935
1757512322.537024,1575,4663296,-1,-4479873,4720383
1757512322.537832,1576,4748800,-1,-4534145,4697855
1757512322.538781,1577,4815872,-1,-4518785,4730879
1757512322.539714,1578,4903424,-1,-4454529,4796159
1757512322.540769,1579,4640768,-1,-4444545,4812799
1757512322.541734,1580,4959744,-1,-4558977,4723711
1757512322.542668,1581,4781056,-1,-4523649,4717567
1757512322.543484,1582,5074176,-1,-4376961,4716287
1757512322.544439,1583,4700672,-1,-4511873,4765183
1757512322.545372,1584,4669184,-1,-4434049,4660991
1757512322.546114,1585,4934656,-1,-4588417,4602623
1757512322.547061,1586,5475328,-1,-4298369,4562175
1757512322.548082,1587,4636672,-1,-4418433,4562687
1757512322.549005,1588,4863744,-1,-4491649,4717311
1757512322.549851,1589,4648448,-1,-4515201,4710399
1757512322.550799,1590,4870144,-1,-4458113,4730623
1757512322.551656,1591,4684800,-1,-4585089,4557311
1757512322.552539,1592,4941056,-1,-4493697,4688639
1757512322.553469,1593,4631296,-1,-4540289,4790015
1757512322.554389,1594,4942080,-1,-4536705,4487423
1757512322.555299,1595,4745216,-1,-4431233,4607487
1757512322.556353,1596,4872704,-1,-4493953,4610559
1757512322.557149,1597,4723200,-1,-4595585,4672767
1757512322.558002,1598,4812032,-1,-4387969,4745471
1757512322.559015,1599,4977408,-1,-4499841,4665087
1757512322.559956,1600,4760832,-1,-4429441,4644095
